drive_team,drive_description,play_id,quarter,clock,play_type,text,home_score,away_score,start_home_wp,start_away_wp,end_home_wp,end_away_wp,home_delta,away_delta
CHI,"11 plays, 42 yards, 5:26",40177262139,1,15:00,Kickoff,J.Elliott kicks 56 yards from PHI 35 to CHI 9. J.Blackwell to CHI 33 for 24 yards (P.Johnson).,0,0,50.0,50.0,65.99,34.01,15.99,-15.99
CHI,"11 plays, 42 yards, 5:26",40177262162,1,14:54,Rush,D.Swift left tackle to CHI 36 for 3 yards (N.Smith; Z.Baun).,0,0,65.99,34.01,66.67,33.33,0.68,-0.68
CHI,"11 plays, 42 yards, 5:26",40177262184,1,14:16,Pass Reception,(Shotgun) C.Williams pass short left to C.Kmet to CHI 42 for 6 yards (R.Blankenship; Z.Baun).,0,0,66.67,33.33,64.85,35.15,-1.82,1.82
CHI,"11 plays, 42 yards, 5:26",401772621109,1,13:34,Rush,C.Williams left guard to CHI 45 for 3 yards (N.Dean).,0,0,64.85,35.15,64.33,35.67,-0.52,0.52
CHI,"11 plays, 42 yards, 5:26",401772621131,1,12:59,Pass Incompletion,C.Williams pass incomplete deep right to R.Odunze (C.DeJean).,0,0,64.33,35.67,66.16,33.84,1.83,-1.83
CHI,"11 plays, 42 yards, 5:26",401772621154,1,12:54,Rush,D.Swift left tackle to 50 for 5 yards (J.Davis; J.Hunt).,0,0,66.16,33.84,65.5,34.5,-0.66,0.66
CHI,"11 plays, 42 yards, 5:26",401772621176,1,12:16,Pass Reception,(Shotgun) C.Williams pass short right to R.Odunze to PHI 45 for 5 yards (A.Jackson).,0,0,65.5,34.5,62.67,37.33,-2.83,2.83
CHI,"11 plays, 42 yards, 5:26",401772621201,1,11:36,Pass Reception,C.Williams pass short left to L.Burden to PHI 34 for 11 yards (C.DeJean).,0,0,62.67,37.33,60.74,39.26,-1.93,1.93
CHI,"11 plays, 42 yards, 5:26",401772621226,1,11:05,Rush,D.Swift right end to PHI 31 for 3 yards (J.Phillips).,0,0,60.74,39.26,61.18,38.82,0.44,-0.44
CHI,"11 plays, 42 yards, 5:26",401772621248,1,10:23,Pass Incompletion,(Shotgun) C.Williams pass incomplete short right to C.Loveland (J.Carter).,0,0,61.18,38.82,62.51,37.49,1.33,-1.33
CHI,"11 plays, 42 yards, 5:26",401772621271,1,10:19,Rush,(Shotgun) D.Swift left end to PHI 25 for 6 yards (A.Jackson).,0,0,62.51,37.49,64.33,35.67,1.82,-1.82
CHI,"11 plays, 42 yards, 5:26",401772621293,1,9:36,Rush,"K.Monangai right guard to PHI 24 for 1 yard (B.Young, J.Carter).Philadelphia challenged the first down ruling, and the play was REVERSED.K.Monangai right guard to PHI 25 for no gain (B.Young, J.Carter).",0,0,64.33,35.67,69.37,30.63,5.04,-5.04
CHI,"11 plays, 42 yards, 5:26",401772621318,1,9:34,Official Timeout,Official Timeout at 09:34.,0,0,69.37,30.63,69.36,30.64,-0.01,0.01
PHI,"5 plays, 15 yards, 2:37",401772621342,1,9:34,Rush,S.Barkley left tackle to PHI 30 for 5 yards (A.Ogbongbemiga).,0,0,69.36,30.64,69.37,30.63,0.01,-0.01
PHI,"5 plays, 15 yards, 2:37",401772621371,1,8:53,Penalty,"(Shotgun) PENALTY on PHI-A.Brown, False Start, 5 yards, enforced at PHI 30 - No Play.",0,0,69.37,30.63,67.48,32.52,-1.89,1.89
PHI,"5 plays, 15 yards, 2:37",401772621395,1,8:32,Pass Reception,(Shotgun) J.Hurts pass short right to A.Brown to PHI 35 for 10 yards (C.Gardner-Johnson).,0,0,67.48,32.52,70.33,29.67,2.85,-2.85
